"","H1_rep1","H1_rep2","H1_rep3","H1_rep4","H9_rep1","H9_rep2","H9_rep3","DEC_rep1","DEC_rep2","EC_rep1","EC_rep2","EC_rep3","HFF_rep1","HFF_rep2","HFF_rep3","NPC_rep1","NPC_rep2","TB_rep1","TB_rep2"
"PNN",2318.44,2120.58,2129.62,2068.68,8883,8736.98,9900,5040.88,5127.49,3658.5,3634,4206.36,2140.63,1706,1512,12456.41,9421.15,3394.25,3173.18
"HDHD2",347,377.04,309,354,978.11,1115,1006.93,1020.99,1020.93,577.16,655.46,482.42,389,489,483,1202.91,1598,489,795
"BCL2L12",975.98,1024.64,995.73,808.2,2050,2237.2,2227.17,1777.67,1844.53,1077.91,968.95,927.41,424.61,376.07,362.25,1901.31,2158.42,783.2,1120.92
"MTIF3",262.96,248.63,251.34,267,634.52,671.59,781.13,761.51,742.58,772.92,748.46,611.22,729.7,726.99,699.74,541.71,709.98,570.23,836.55
"C12orf71",0,2,2,2,1,2,0,3,1,1,0,0,0,0,0,0,1,3,1
"GAGE1",2.59,0.4,1,1.12,3.18,0,3.14,3.13,4.17,3.02,4.07,0,0,4,0,7.39,8.06,2.6,3.95
"MYO1B",1215.22,1245,1191.33,1167,3752.07,4881.76,5150.63,8580.63,5408.57,2908.31,3067.03,5126.35,4053.25,4360.71,4707.05,3572.38,4017.34,2363.01,2515.22
"ANKRD20A4",0,0,0,2.79,7.28,0,0,31.28,11.05,0,3.25,4.95,11.65,0,15.04,0,11.32,0,0
"GPR32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,11,5
"PRCP",904,947.54,967.01,932,2326.99,2687.88,2593.55,5608.94,4980.83,21274.25,28503.23,28873.73,3558.15,4279.62,4812.99,650.15,1723,1549,1857.53
"SPATA16",17,16,14,12,0,1,1,3,66,27,28,13,0,0,0,0,0,0,0
"OR2L8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CD79B",26,24,25,34,27,29,19,6,1,1220,1265.96,799,28,27,14,22,57,0,0
"SRD5A3",247.8,260.56,227.15,233.45,827.09,895.31,1002.57,417.42,332.95,897.52,824.25,724.22,367.48,339.91,374.59,365.05,610.46,352.77,408.49
"WIF1",36,28,24,25,49,49,61,5,5,0,0,0,0,1,3,2,3,0,3
"PCDHA1",35.22,16.57,21.15,30.94,54.91,58.99,46.2,14.44,19.09,30.28,51.51,38.78,7.3,4.54,4.28,36.16,67.49,46.42,78.12
"DNAAF1",3,0,0,1,2,1,5.01,4,3,0,2,11.01,2,2,0,6.01,5,6,2
"UCMA",21,16,23,13,23,27,17,0,0,0,0,0,0,0,0,1,1,0,0
"IGFBPL1",196,210,206,185.03,406.03,421,482,1117.01,861,26,9,32,2,1,3,399.5,1255.01,3131.27,3997.26
"BAP1",1170,1169.76,1054,999.02,3099.87,3592.96,3490.19,3464.66,3138.29,3400.47,3895.59,4157.4,2222.95,2476.08,2309.84,3061.93,4293.56,2210.6,3006.73
"ZNF434",212,200,231,234.37,475.95,583,614.08,548,506,458.04,532.24,432.04,264,315.02,306.03,431,561.07,234.16,368.01
"HERC6",63,60,46.56,46,127.65,120.71,139.39,82.4,90,42,23.11,25,393.26,341.74,355.03,1,0,148.9,207.01
"ZXDC",624.41,569.04,586.47,600.05,1515.07,1668.27,1824.02,1713.85,1340.66,1491.46,1346.63,1604.92,693.2,695.01,817.65,2588.97,2022.98,1082.47,1397.43
"FRZB",41,40,26,29,98,120,114,7996.28,8068.78,2808.81,2401.49,1458.11,24,43,32,2657.92,2050.89,11,15
"BRI3",320.38,330,323.36,286,653,692,604.23,1258.3,1205.99,1801.76,2023.36,2510.73,4154.71,3351.95,3794.63,995.02,1219.76,1714.94,2242.48
"TRIM9",28,42,35,29,116,98,127,14,7,24,28,104,8,7,6,96,541.88,28,19
"EXOC2",718,718.98,613,645.15,1807,2320.98,2023,1939.03,1567.71,1636.64,1694.99,1229.62,1009,1024.19,901,1234,1422.84,681.01,1188
"LCE2D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C12orf12",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"C3orf14",66,53,53,70,192,222,205.3,99,111,53,45,54,158,158,164,51,173,65,130
"TUBA8",10,22,13.99,16.03,62.88,60.95,51.03,24.99,25,47,48,66,25,23,28,29.98,37.02,18,14
"POP4",339.12,328,332.3,303,723,928,894,655.03,625.36,424.97,415,407,781.9,681.68,606.3,487,649.99,348.88,548.94
"TOX2",20,22,29,24,92,62,52,61,76,410.01,542.27,437.83,619,597.95,549,60,59,1,0
"KIAA0226",175.9,206.64,194.88,212.81,533.13,514.03,610.44,655.08,661.89,921.27,947.22,938.36,702.2,677.05,706.94,764.79,910.41,778.12,906.65
"LRRC45",286.31,299,336.08,280,976,966,963.52,1015.17,1409.54,318.97,380.86,240,233,202.03,180,860.11,993,351.13,474.07
"C15orf33",4.14,6.28,11.47,6.57,27.88,45.4,42.79,40.42,21,33.74,13.14,20.41,19.18,25.01,19.13,64.64,55.98,16.12,27.24
"AIM1",236.95,224.17,210.5,193.65,769.02,653.62,643.61,179.59,65.83,86.38,37.7,101.68,1323.58,1932.36,2013.35,81.82,62.17,136.34,105.41
"DHRS4L2",95.38,87.6,107.53,108.58,237.76,315.62,321.46,204.97,254.92,145.2,161.23,156.92,309.39,326.98,271.28,147.12,216.81,183.68,241.68
"FTO",423.53,414.95,385.63,408.93,1368.4,1446.56,1381.37,1559.12,1015.71,1623.14,1767.57,1379.3,1553.61,1543.23,1626.72,1814.12,2266.11,875.4,1400.6
"CYP1A2",20.76,26.33,20.19,21.73,60.06,44.3,59.95,64.45,61.15,36.06,44.66,70.59,25.25,21.33,24.62,125.56,106.45,73.05,56.33
"KRT17",3,3,0,1,3,6.77,1,9.23,14,3.15,4.59,6.21,62.93,77.8,71,2.19,20.79,508.17,992
"C19orf81",20,15,34,14,56,67,52,37,81,20,28,20,3,4,5,103,86,2,3
"FAM125B",67,73,79.04,74,511.02,514,575.74,1615.11,881.01,458.01,470.15,389.01,322,310,297.02,1539.06,1870.72,304.52,579
"DHDDS",430.58,459.22,432.92,434.33,1002.93,1173.16,1242.31,1128.72,1041.03,1020.26,1150.29,1197.27,1673.59,1543.97,1393.58,876.19,1183.71,1036.12,1353.69
"HSPB6",12,14,8,8,18,15,13,39,11,19,13,7,4648.96,4266.97,4295.25,16,13,86.95,122
"CYLC2",3.06,0,0.16,1.28,4.45,0.46,3.23,1.86,0,0.94,0,0,3.4,0,3.36,1.13,3.04,1.68,2.35
"C9orf171",7,3,4,0,6,1,7,2,3,17,21,25,0,0,0,67,217,0,0
"NOVA1",42,36.4,44,33.01,295.97,375.44,378,130,145,288.97,298,150.32,41,32,44,834.01,835.03,14,33
"C15orf53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALM3",4729.95,4524.85,4501.54,4138.43,10673.05,12074.93,11304.71,25853.87,25922.04,22706.12,22043.17,19228.67,11664.11,11514.01,10815.45,14056.09,20257.99,9720.1,15840.65
"ATXN3",177.25,185.63,191.51,179.93,639.55,671.81,743.99,541.43,418.63,514.7,485.25,490.76,437.75,491.92,482.21,898.36,860.07,360.26,449.82
"GAL3ST1",136.01,107.09,135,116.01,260.22,178.19,196.69,263.45,345.57,269.01,211,144.6,0,2.01,1,212.69,198.9,14.81,12.04
"TRIM3",72,82,89,75,266,251,294,383.99,365,572,668,582,644.01,474,469.71,420.91,581.98,186.01,238
"SLC35E4",24.19,35.41,33.19,24.8,146.02,107.29,117.63,114.78,138.4,119.61,213.1,330.32,282.24,276.76,262.45,182.58,145.11,25.26,50.04
"NEK6",191,174,147,129,462,450.01,478,1191.17,878,501.09,466,563,2206.48,2190.53,2414.17,991,677,763.99,1101.99
"CXCL5",439.13,390.96,375.75,404.94,725.03,635,1425.78,17.05,15.11,3750.51,3659.57,4280.57,9.03,10.06,14.08,7.04,11.04,5.65,6.97
"KIAA1919",88.38,103.95,88.12,95.31,112.03,131.71,133.42,266.09,207.49,208.78,193.15,270.8,107.82,112.4,135.14,441.24,361.5,424.16,467.04
"MCF2L2",56.7,34.2,33.82,40.63,82.4,62.42,77.69,2082.16,1723.75,79.83,99.66,114.19,12.03,15.59,9.24,301.14,179.67,52.59,46.26
"NGDN",433,418,383,379.96,1136,1428,1502.99,827.02,796.79,737.7,763.15,864,421.94,407,446,714,902,409,700
"NOL7",604,660.98,627.35,632.61,1980.19,2609.45,2382.5,1595.9,1568.97,1239.95,1321.88,1417,1274.04,1181.99,1165,868.73,1244.46,743,1084.24
"FOXR1",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0
"RYR2",66,77,84,68.96,163,197,271,89,83,3,5,9,0,1,2,20,37,3147.16,4166.71
"WDR93",0,0,0,1,0,2,0,2,2,1,0,3,0,1,2,7,10,4,6
"RBM17",1052.02,941.02,970.23,926.02,3274.14,3984.67,4034.56,3398.66,2940.82,2061,2016.76,2246.06,1477,1510.98,1641.78,2361.19,3228.31,2342.57,2722.31
"EFHA1",345,343,333,344,1067,1212.93,1175.17,1145,922.96,701,644,638,809,707.11,756.02,1160.06,1367.55,695.56,1080.45
"DMTF1",736.14,663.16,652.63,606.42,2814.31,2894.96,2724.61,2985.85,2735.66,2049.66,2063.95,2926.35,1004.2,908.68,928,4118.62,3527.44,2324.95,2214.86
"TAS1R3",3,0,6,4,3,5,3,11,4,22,22,55,7,8,5,14,12,15,20
"SETDB2",62.43,67.97,76.15,81.21,262.47,256.88,327.48,251.11,218.2,332.55,345.15,262.54,686.46,730.37,762.55,434.12,436.39,256.02,344.39
"CYP3A4",2.05,2,1.26,1.01,4.54,5.71,6.74,14.37,34.45,1.32,3.83,7.18,2.73,1.11,1.84,13.27,6.82,129.32,329.63
"ZMYM4",1240.01,1207.2,1194.83,1146.94,3698,4177.67,5030.16,4757.31,3697.96,3094.38,2952.07,3552.98,1941.67,2072.63,2261.06,4126.16,5406.64,1233,2247.95
"SCP2",434.27,357.7,337.12,377.97,1153.9,1241.24,1333.86,1190.13,994.7,1269.38,1361.02,1197,3679.06,3610.09,3587.73,606.67,850.49,902.93,1465.46
"SEPT9",5608.15,5248.92,5066.16,4794.2,11920.87,12260.97,12550.57,14618.15,11611.83,21254.97,19999.92,18015.34,12147.59,14225.85,13165.92,13780.85,14864.26,16060.56,25390.37
"DDX11",1422.97,1443.8,1406.88,1241.35,6021.21,5960.66,6843.2,2580.1,2849.66,1841.98,1734.3,1575.37,722.19,649.07,517.06,7587.4,6729.84,1960.9,1720.43
"NIPAL1",32.84,26.05,26.05,22.71,102.78,95.04,99.59,79.18,46.56,14.81,17.78,31.17,36.92,26.07,41.85,23.99,28,340.56,161.17
"GRK4",9,3,6,5,19,15,24,26,31,33.9,27,37,64,77.02,43.09,27,42.02,14.92,26
"PPP1R1B",145.42,137,124,136,262,274,247,17,7,191,39,175,2,0,1,4,4,1,2
"C8orf44-SGK3",12.65,22.68,22.57,30.35,0,0,0,77.43,46.56,116.07,0,48.31,21.9,100.51,44.79,102.73,79.42,0,58.75
"TRIB3",483.48,449.05,415,366.03,446.01,482,582.54,641.05,774.5,1949.9,3137,4452.11,1191,1637.64,1970.02,37,89.05,309.41,353
"RPS9",11282.91,11140.49,11190.91,9852.45,21909.75,25167.27,24626.36,15514.5,16850.4,12165.01,11267.85,12198.24,13662.04,15262.73,13732.1,18739.59,22817.44,15264.73,23873.68
"ERMP1",444,464.03,435,470.96,1095,1151,1265.88,1933.77,1480,3338.17,2684.3,2543.31,603.77,1031.12,1330.72,1202.24,820,2780.98,3344.23
"CT62",2,0,2,1,1,3,1,0,0,0,0,0,3,3,5,0,0,1,0
"SHROOM3",644.87,653.84,577.69,579.97,2073.41,2201.76,2413.29,1472.82,1151.93,124.84,59.91,122.58,3032.97,2680.71,3308.6,3782.08,4560,784.02,950.05
"GPR180",192,175,165,190,471,491,530,371,315.94,458,357,271.29,579,499.02,695.89,421.95,376.02,266.99,325
"OSBPL11",394,356.13,309,335.16,1093.98,1457.12,1391,1047,751.14,718,695,632.61,518,490,508.4,986.31,1221.11,640.12,1234.07
"ELF5",0,1.78,0,2.39,0,3.48,3.97,0,2.91,2.01,2.93,2.66,0,1.16,0.74,3.59,1.57,50.2,60.99
"COMMD4",794.34,825.02,835.42,747.87,1990.86,2358.17,2217.01,1687.66,1897.79,988.04,1276.5,1078.62,1782.48,1820.33,1633.76,967.53,1981.79,981.23,1335.95
"PCDHGB7",148.67,173.73,162.95,175.91,353.84,426.56,385.55,1391.04,1052.28,3265.45,3690.32,3331.81,1009.14,1434.2,1471.59,2074.35,2001.61,1404.77,1496.28
"FKBPL",102,90,96,117,202,240,274,272,286,178.67,195,214,127,174,123.12,171,299.99,172,249
"SEL1L",428,418,426.25,404,1249.32,1319.72,1528.06,3909.5,2619.73,2968.53,3164.36,3098.49,3739.34,3592.67,4644.18,1855.56,2001.26,2196.47,2625.02
"AOX1",93,131,93,90,318,343,362.09,161.93,120,0,2,3,1290.83,1029,1135,143,181,4,3
"DDIT3",83.05,85.03,92.16,85.22,95.09,102.09,127,612.13,743.13,136.09,182.34,443.34,951.61,1298.41,1354.37,30.03,77.07,372.34,355.13
"CERS1",181.38,190.04,203.74,170.06,502.27,482.81,643.69,339.34,416.47,746.98,675.4,828.38,57.77,43.67,49.79,806.83,703.78,26.24,38.5
"C21orf91",358.11,373.02,327.06,338,1052.89,1041,1123.97,1401.07,1045.13,857.07,742.28,869.08,222.59,264.01,270.01,867.28,933.74,375.94,637
"COL17A1",19,8,10,15,96,97,69,34,10,26,25,42,6,2,1,35,40,74,74
"HIVEP1",363,381,383,336.7,962,983.99,1314.01,972,581.01,697.96,585.9,1093.04,439,452.04,669,1547,1230.01,965,615
"PDE5A",286,287,241,259,690.03,781,918,685.57,278,245.01,209.94,211,4300.5,4359.05,5081.93,590,317,184,452.02
"SSX1",1,2,1,0,1,0,1,22.97,25.79,0,0,0,0,0,0,0,1,0,0
"SLC16A7",10,19,9,15,38,36,31,65,40,54,52,35,280.02,285,466.71,18,13.98,21,20
"SFXN5",311,330,331,305,1197,1486.05,1332,864,900.98,571,674.08,483,439.94,515.08,487.82,123,356,290.01,429
"ANAPC4",318.15,327.01,323.01,345.86,1206,1377,1444,775,685.05,456,493,413,565.46,593.01,548.75,1047.6,1144,572,758.05
"IL28RA",193.9,169.06,172.78,155.47,341.36,421.05,496.47,486.04,485.5,61.71,37.61,82.01,15.92,16.24,21.39,184.67,183.27,318.1,322.53
"CEP120",284,254.09,272,244,526,658.95,766,835.23,552,647.93,590.63,586,455,473,483,801.03,803.08,410,655.94
"UBE2F",514,509.34,479,462,1233.84,1596.12,1615.65,1460.07,1269.98,2233.4,2092.88,1778.95,960.52,1092.94,1124.84,473,924.99,563.96,917
"CDR1",9,10,7,6,18,10,14,72,73.99,45,38,55.99,25,43,74,16.99,15,19,14
"MED22",1113,1100.99,1028.99,988.01,2640.99,2910.06,2979.94,2371.57,2389.49,1153,1442.26,1683.61,1042.15,1043.45,1020.99,1609.68,2691,1052.77,1465
"DNASE2",463.84,415.73,412.65,402.12,546.96,409.23,510.37,664.18,792.53,935.17,889.55,728.77,1705.8,2165.19,2419.91,515.05,319.67,722.79,976.38
"CMPK2",16,18,11,18,22,36,22,10,16,6,10,8,18,12,14,1,0,24,54
"AKIRIN1",3942.84,3802.88,3631.49,3559.93,8344.26,10376.78,9367.42,5724.99,4684.54,3261.6,3496.06,5377.67,1755.12,1343.95,1695.51,3868.85,4906.84,2111.26,3480.23
"CXorf1",0,0,0,0,0,0,0,23,30,4,0,8,0,0,0,1,1,0,0
"C20orf203",14.7,21.91,25.17,25.44,80.9,79.64,86.19,95.77,98.37,54.91,49.62,67.12,22.87,16.58,20.14,197.15,77.49,67.89,53.08
"RET",141,140,132,105,371.03,358.29,332,30,21,31,50,61,59,48,66,115.97,100,2,5
"MLL4",470,500,471.01,467,2389.05,2560.04,2918.67,2900.13,2656.96,2705.7,2601.08,3425.41,1153.6,1286.07,1269.42,3773.17,3398.8,1989.59,2175.89
"PRAMEF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0
"C16orf11",5,2,3,1,3,7,6,0,4,1,3,0,0,2,1,0,1,0,0
"TRPM8",4.49,2.58,3.74,9.79,18.08,8.96,7.78,9.71,13.23,4.78,5.98,9.45,6.72,7.69,11.74,509.54,180.43,12.94,9.97
"FPR3",0,0,1,0,1,1.95,3.06,0,1.99,0.92,0,0,0,2.96,2.71,1.01,4.72,1,0.83
"FAM111B",212.85,192.87,178.67,189.98,1089.54,1269.59,1272.59,667.92,669.04,50.9,50.51,75.83,223.98,165.19,197.71,288.22,938.38,179.79,288.15
"CASP7",70,57,50.04,40,137,174,178.04,255.01,183.95,323.88,475.98,858,561.03,703.02,682.27,391.01,329.58,215.01,365.41
"TAAR9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIPF6",525.14,484.7,492.32,498.24,1260.02,1529.61,1496.75,1603.94,1306.38,1490.81,1459.69,1626.37,979.24,788.88,963.75,1257.58,1377.34,1136.35,1590.67
"ZNF749",139.02,115.12,140.62,119.73,395.98,422.34,386.63,334.36,261.85,244.36,228.41,300.55,55.32,56.87,61.3,229.87,238.24,97.55,108.27
"CDKL4",3,0,1,2,2,0,5,0,0,0,0,1,1,3,6,0,0,1,2
"PGAM2",21,17,23,22,69,69,53,31.77,39.94,18,31,56,23,50,29,210,245,26,26
"ZNF518B",79.95,85,69,86,401,416.94,563.97,1734.52,1243.93,1350.99,1365.57,1465.15,562,572,720,1641.96,2376.07,736.89,1428.53
"MRPS34",2062.05,2054.37,1967.35,1850,3875.9,4679.96,4447.65,2805.56,2901.52,1265.09,1359,1340.16,1687.79,1514.2,1367.04,1239.3,2288.65,1087.07,1732.98
"CHRNA6",0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
"GRB14",98,116,88,98,252.37,258.66,239.02,50,38,132.98,104,227.99,14,4,8,88.97,95.98,113.03,156
"OR5AN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMPK",249,211.92,206,167,1022.17,1100.05,1281.71,1403.18,1839.14,2119.31,2443.49,3031.9,3385.35,3657.59,3039.54,2920.15,2755.44,1723.65,1819.7
"MGAM",2,1,0,0,3,3,1,6,10,27,38,51,1,0,2,68,24,20,23
"CGN",1478.29,1545.98,1478,1463.9,2631.3,3002.2,3124.13,2859.61,2759.59,841.09,931,930.5,1,4,9,911.98,1118.71,9363.82,10570.13
"PABPC1L2B",4.92,15,7.15,14.83,20.98,30,24.68,2.85,4.26,55.8,57.67,50.98,0,0,0,31.07,2.63,1.73,0.91
"ATP6V0A4",3,6,3,5,14.29,16,14.58,1,1,3,1,4,2,1,3,5,3,93,115.28
"MCM2",4132.99,4009.74,3925.09,3674.57,8116.75,9416.04,9494.85,2690.02,2430.53,621,504.99,582.14,1032.73,1033,882.78,6627.26,8977.89,759.74,1271.08
"FAM83H",1096.56,1035.64,1032.41,893.67,2607.4,2928.63,3079.26,3936.42,3891.8,411.83,470.68,377.45,477.19,501.03,518.48,2004.34,2139.41,2437.51,3611.75
"RAB20",125,115,126,103,157.05,194,204,760,969,29,18,68,67,78,83,11,92,736.99,671.01
"LHCGR",0,0,2.93,0,3,2,4,3,1,3.8,1,0,0,0,0,1,13,1,0
"SEMA7A",166.36,164,162,143,431.06,505,607.13,1102,915.92,1989.61,2167.18,2175.48,2571.76,1870,2166.2,739.14,1128.79,1959.32,781.18
"C1orf198",952,886.01,858.97,877.41,1724,2144.05,2093.73,3386.32,2568.59,680,745.42,792,5164.78,5047.61,6442.69,2141.56,4536.94,1558.02,2067.17
"CBX3",2500.1,2468.24,2259.94,2435.46,8038.9,9506.55,10095.8,7123.58,6087.56,5054.85,5658.27,5482.79,3659.18,3604.07,3659.66,4714.84,6758.85,2790.54,4268.47
"RAC2",28,23,23.49,25,88,69,80,89,89,405.95,486,300.99,695,728,593,22,23,39,56
"GABBR2",22.09,18.01,17,9.38,51.05,40.21,63.63,53,51,0,0,0,212,256,273.13,10.04,22,54.61,86
"MCCD1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CACNA1G",74.22,69.1,82,76.12,303.24,269.51,239.08,77.14,54.04,31,7,39,15,17,8.05,781.65,764.73,2,3
"CXCR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ATP8A2",94,104,114.63,88,223,221.16,249,107,70,15,14,5,10,8,4,50,66.98,73,125.47
"NDEL1",270,244,260,277,660.99,779,866,2042.94,1717.97,2258.54,2397.14,4112.84,1942,1716,1889.96,593,975.99,1018.98,1116.97
"SEC23B",929.39,840,922.65,867,2311,2820.57,2744,2923.03,2894.96,1715,1750.06,1773.66,1463,1167,1160.17,1791.73,2051.99,1131,1944
"XRCC6",8874.88,8679.5,8479.45,8352.06,22222.79,28342.08,26473.01,16871.56,14955.81,8697.37,8449.59,8630.55,10710.78,10510.09,9237.81,13260.72,19928.43,6427.28,10057.25
"RPAP1",799.79,809.84,781.62,774,2398,2362.05,2303.01,2358.37,2227.04,1882.83,1808.42,1217,922.99,850.62,897,1905.48,2130.84,678,1162.73
"REL",40.74,45.41,39.55,38.11,112.14,95.51,123.69,106.32,51.86,190.77,151.4,210.57,49.07,41.91,69.56,200.93,151.86,76.17,109.2
"PKHD1L1",10,20,7,6,6,5,7,396,192,9,5,0,0,0,0,1,4,31,45
"TMEM200C",93,103,89,81,215.92,275,245,212.91,214,35,13,17,16,7,9,213.99,339.4,35,44
"SPEF1",4,3,4,2,20,10,13,14,26,2,4,8,2,3,6,3,14,1,0
"GALNT2",1903.87,1854.09,1821,1758.06,3892.08,4352,4726.71,3042.98,1908,4962.03,4576.18,3888.86,7684.97,7602.26,7750.03,6197.21,5583.29,3232,3833
"SEMA6B",901,938.46,865,736,1706.42,1388,1544.18,538,575.9,1149.74,1317.04,1986.93,8,17,18,4877.2,2298.86,9,5
"C18orf25",262.08,294,272,264,865.03,777.73,836.67,831.09,670.18,744,726.15,782.48,654,562.67,547.01,699.01,773,555.05,839.94
"PNLIP",0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0
"PROKR2",7.34,9.32,7,14,30.04,24,28,0,0,0,0,0,0,0,1,2,0,0,0
"IFNGR2",416,370,365.64,347.03,741.34,891.97,1129.98,1974.25,1576.17,1481.05,1393.62,1156.29,1741.43,1873.56,1965.18,1304.49,1015.82,762.93,1144.27
"ANKRD53",1,4,3,4,7,6,5,20,14,5,9,6,64.01,62,51,9,12,39,54
"JMJD7",110.49,125.8,108.4,80.27,280.06,245.54,250.22,304.47,305.01,215.28,198.2,186.72,90.99,135.19,91.99,677.68,561.71,318.34,351.29
"PEX11B",142,124.75,126,99,219.92,282,301,424,362,587,689.01,608,769.25,817,767.96,314,445,457,617
"REEP5",926.19,890.76,828.01,859.91,1809.87,2087.4,2388.04,1588.93,1198.03,2101,2318.15,2144.26,3185.79,2891.6,3089.76,745.52,1140.88,2541.07,2891.43
"VIL1",97,99,91,84,164,299,153,2326.12,2648.58,7,0,15,0,2,3,9,10,21,22
"IKBKAP",978.25,983.04,889,949,2450.84,2832,3285.89,2016.95,1530.75,1689,1712.87,1718.33,1551.85,1428.03,1511.79,2899.77,3060.61,1264.01,1909.8
"CTU2",439.73,456,441,397,837,971.04,843.54,547,462.89,507.29,483.96,471.71,434.19,428,324,378.69,758,256.89,358
"ANKRD45",30.18,24.17,21.97,32.06,86.9,64.89,60.31,49.1,39.69,38.83,34.22,42.08,17.18,6.9,15.45,158.88,136.92,37.16,16.72
"DDTL",35.15,28.58,26.49,31.48,107.61,104.82,103.7,70.67,68.96,51.3,39,121.91,46.71,54.71,53.8,65.95,76.79,121.32,56.02
"MSC",36,31,40,20,35,53,34,23,7,75,65,56,134,176,169,30,35,0,3
"DCDC2",3.65,8.67,0.6,0.62,11.83,15.01,27.79,14.09,6.87,6.44,11.08,10.67,6.61,11.3,8.68,14.97,13.57,28.91,31.32
"OR2T11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INO80B",120,105,102,87,288.56,320,337,414.72,474,270.25,316.67,264,458.24,526.99,451,506.7,495.21,446.62,592.89
"NFATC2IP",610.83,633.41,616.91,564.71,2388.15,2482.19,2883.57,1796.33,1731.26,1720.16,1845.77,1933.24,1254.74,1074.16,1287.5,2509.58,2749.17,2022.92,1710.49
"TAS2R3",1,0,4,2,2,0,3,0,0,4,0,1,1,0,0,6,8,1,3
"C8orf42",1146.2,1114,1023,1114.27,1851.4,2111.88,2261.62,1774,1575.45,1137,900.6,980,237,227,237,1040.01,609,2701.11,3999.97
"ATN1",1092.11,1143.78,1034.07,962.97,4703.21,4666.89,5054.12,9498.73,9829.57,8287.02,9018.5,9869.5,6402.65,6180.9,6049.62,11282.52,7534.03,4152.18,7112.37
"CHRND",2,0,6,1,2,5,4,0,0,3.21,1.98,5,0,0,0,7,17,0,1
"C1orf86",660.44,676.35,543.07,559.37,1257.36,1398.95,1399.89,2193.31,2410.23,1438.85,1498.01,1494.83,1193.73,1125.59,1107.39,1637.86,1857.08,822.58,1190.41
"ST8SIA1",26.49,28.93,25.71,24.3,102.78,63.78,89.49,1091.42,783.27,71.13,83.38,62.76,23.9,28.11,19.5,117.52,123.7,61.57,66.32
"WDR19",192.8,189.01,183,183,627.99,659.81,759,809.32,668.62,697,774.01,698,891,940.04,1001.99,2350.93,1863,623.29,694.97
"SHISA4",70,63,69.92,74,119,106,102.66,61,75.99,161,190.26,165,1002.64,1177.93,1078.95,221,247,169,229
"FADS3",375,307.05,330,312,572,531,526.92,587.89,694,745.74,697.39,1060.23,3558.97,3786.03,3603.23,492,397,432.98,334
"MACROD2",13,11,12,12,6,12,15,35,35,70,49,57,18,37,52.92,102,199.31,23,45
"ACOT9",350.18,364,367,398,972,1051,1094.56,919,803.28,1059.03,1263,1158.41,1248.16,1306.01,1212.67,385,730.98,843.96,833.99
"RASSF3",563.01,509,536.6,523.2,1066.6,1085.85,1434.25,949.32,628.87,908.79,1040,1380.11,729,857.91,1058.47,489.02,810.92,496.79,686.99
"MRPS23",722,731,721,677,1726.5,2117.82,2100.97,1318,1249.86,614.67,677,673.21,897.14,818,762.01,547.67,950,412.31,665
"CD44",40,43.15,36,48.98,145,175,164.64,720.07,264,5907.6,5520.96,4240.01,38044.82,34458.18,32966.07,33,150,57,37
"OR11H12",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"RNF133",2,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1
"OR10J5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSF1",777.04,795.13,746.36,610.72,2074.01,2263,2045.24,2643.06,2571.51,2977.21,2888.79,3146.22,1842.03,1856.54,1813.47,2373.33,2641,1507.16,2163.96
"HSD17B7",198.21,158.37,178.75,199.81,1019.17,1352.62,1376.83,787.45,1036.71,649.58,662.43,353.58,355.1,368.43,379.29,798.5,755.34,858.35,1159.5
"PATL1",515.01,522.05,497,485,2012,2070,2097.81,2276.66,1728,2956.93,3220.37,4096.52,2151.09,2037.22,2337.02,1718.04,1597.09,888,1300.83
"ZDHHC17",368.03,321,331,351,952.15,947,1051.9,941.45,754.86,1075.54,1113,1146.26,599,708,683.99,1831.53,1562.55,1303.91,1007.12
"GPR34",0,0,0,0,0,0,1,2,0,1,0,2,0,0,1,0,2,0,0
"DCAF4",221,259,258,220,531,634.05,542,497.85,397,125,120,154,638.22,645,594.04,136.71,292,406,446
"GABRA6",0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,3,0,0
