"","H1_rep1","H1_rep2","H1_rep3","H1_rep4","H9_rep1","H9_rep2","H9_rep3","DEC_rep1","DEC_rep2","EC_rep1","EC_rep2","EC_rep3","HFF_rep1","HFF_rep2","HFF_rep3","NPC_rep1","NPC_rep2","TB_rep1","TB_rep2"
"C11orf31",1283.42,1311.17,1265.44,1157.21,3084,3602.3,3452.62,2028.74,2067.74,2023.06,2274.45,2222.71,1484.17,1250.73,1257.89,1437.22,2763.97,1126.68,1725.58
"SELK",218,228.38,231,254.01,590,713,734,1175,1343.66,904.07,966.74,971.99,602,501,527,669,977.73,770,935
"CTDNEP1",888,881,866.91,760.16,2374.85,2674.32,2607.51,2638.46,2640.7,2895.74,2943.64,3150.87,2872.07,2882.8,2674.19,2682.62,2872.86,1544.02,2570.82
"ZNF235",70,47.99,59,62.01,128.87,164.91,179.03,143.05,103.99,108.97,105.96,225.94,55,66,67.98,72.85,165.87,143.95,138.09
"ACSM3",28.47,32.62,34.86,32.51,22.72,25.05,35.84,2.18,3,8.07,6.91,8.6,6.27,8.31,15.17,25.81,28.32,89.38,58.53
"NDRG4",265,293.99,251,246,679.29,610.52,744.99,2545.66,2325.75,171.84,262.77,268.82,364.09,372.94,248,598.22,791.01,116,147.99
"TREML4",0,0,0,0,0,0,0,1,1,0,0,2,2,2,5,0,0,0,0
"ENPP7",0,0,0,0,0,0,0.95,1,1,0,0,1,0,0,0,0,0,0,0
"PPP2R2C",89,100,101,100,295,210.93,236,288.58,276.98,29,12,23,0,1,0,54,31,0,3
"CCND3",414,450,435,359.94,712.99,725,805,497.55,443.01,1343.27,1164,961.99,1787.18,1374.02,1335.01,342,605.98,1468.75,1839.97
"VWC2L",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"PRR20D",0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0.38,0,0.2
"GAN",124,106,96.1,121,213,222,261,240,120,173,143,217,68,69,87,187.99,206.24,212,251
"MICAL3",383.27,405.49,392.85,356.49,1656.45,1655.95,1882.48,2231.01,1493.02,1140.73,1121.71,1245,1312.11,1134.13,1279.62,2392.85,2755.69,1873.19,2258.44
"ZNF184",123.05,125.75,125,113.59,246.42,356.24,358.13,465.83,348.73,339.69,409.12,385.14,177.16,192.95,186.85,361.23,446.62,126.39,244.73
"PHF2",267.62,223.06,235,202,677.02,837.08,930.22,1746.65,1309.97,1466.5,1464.99,1599.71,1037.99,1234.01,1222.99,1523.22,1338.93,608.75,1159.59
"ALX4",0,0,1,0,1,1,0,14,1,17,3,44,24,19,22,3,43,3,5
"ZNF333",37.9,45.95,36,38.63,155.09,118.95,147.49,261.68,188.53,428.58,424.75,351.96,192.48,234.1,263.58,718.49,406.98,218.24,193.18
"CST3",176,175,159,156,380,425,397,5495.92,5226.6,852.8,964.78,870.46,3867.37,3847.08,4122.21,834,1331,9219.48,11009.57
"ANGPTL2",168,140,140.83,172.25,469.61,567,536,661,449,114,144.18,184,4811.15,9629.98,9935.38,633.79,1170.03,1,9
"KCTD11",125,109,119,116,289,292,311,552,586.03,247,250,170,959.33,1065.08,1023.33,372,512.95,557,730.14
"CDHR3",23.48,15.3,26.64,18.72,85.76,65.68,88.24,81.77,87.9,56.36,41.57,70.67,26.35,26.55,51.18,64.79,59.65,55.48,46.53
"PPIE",416,441.56,447.18,417.71,881.73,971.44,1037.36,1154.26,1276.21,1005.55,1045.92,800.46,1102.75,1306.4,1160.5,1506.7,1447.88,667.79,1015.31
"GAGE12E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TERF2",276.17,270.51,304,244.96,771.68,847.38,872.71,856.51,684.76,930.97,991.77,1049.77,507.26,511.38,469.02,984.32,1073.78,352.1,628.33
"NDUFA3",404,400.17,385.02,376,806.03,890,846.55,807.01,911.17,700,699.23,715.69,628,616,525.01,649.93,802.97,471.69,707.06
"NT5M",96,100.76,117.99,98,179.9,135,186.3,47.98,56,147,126.96,71,34,77,55,149,89.95,23,40
